Pepsic|A Peste : Revista de Psicanálise e Sociedade||A Peste, Rev. Psicanál. Soc.|apeste|2175-6104|1775-1851|2175-6104|Universidade de São Paulo e Pontifícia Universidade Católica de São Paulo
 Spain|A||a|psi|2173-4712||2173-4712|Colegio Oficial de Psicólogos de Madrid
Social Sciences|História (São Paulo)||História|s_his|0101-9074|0101-9074|1980-4369|Revista História|by-nc/4.0
Brazil|História da Educação||Hist. Educ.|heduc|2236-3459||2236-3459|Associação Sul-Rio-Grandense de Pesquisadores em História da Educação|by-nc/4.0
Brazil|História, Ciências, Saúde-Manguinhos|Hist Cienc Saude Manguinhos|Hist. cienc. saude-Manguinhos|hcsm|0104-5970|0104-5970|1678-4758|Casa de Oswaldo Cruz, Fundação Oswaldo Cruz|by/4.0
Brazil|Hoehnea||Hoehnea|hoehnea|2236-8906||2236-8906|Instituto de Botânica|by-nc/4.0
Peru|Horizonte Médico||Horiz. Med.|hm|1727-558X|1727-558X||Universidad de San Martín de Porres. Facultad de Medicina Humana|by-nc/4.0
Brazil|Horizontes Antropológicos||Horiz. antropol.|ha|0104-7183|0104-7183|1806-9983|Programa de Pós-Graduação em Antropologia Social - IFCH-UFRGS|by/4.0
Social Sciences|Horizontes Antropológicos||Horiz.antropol.|s_ha|0104-7183|0104-7183||Programa de Pós-graduação em Antropologia Social - IFCH-UFRGS|by-nc/4.0
Brazil|Horticultura Brasileira||Hortic. Bras.|hb|0102-0536|0102-0536|1806-9991|Associação Brasileira de Horticultura|by-nc/4.0
South Africa|HTS Theological Studies||Herv. teol. stud.|hts|0259-9422|0259-9422|2072-8050|AOSIS Publishing|by-nc/4.0
Mexico|Huitzil||Huitzil|huitzil|1870-7459||1870-7459|Sociedad para el Estudio y Conservación de las Aves en México, A.C. (CIPAMEX)|by-nc/3.0
Cuba|Humanidades Médicas||Rev Hum Med|hmc|1727-8120||1727-8120|Centro para el Desarrollo de las Ciencias Sociales y Humanísticas en Salud|by-nc/4.0
Colombia|Iatreia||Iatreia|iat|0121-0793|0121-0793||Universidad de Antioquia
Argentina|Iberoamerican Journal of Project Management||IJoPM|ibero|2346-9161||2346-9161|Facultad de Ingeniería. Universidad Nacional de Mar del Plata.|by-nc/4.0
Pepsic|Ide||Ide (São Paulo)|ide|0101-3106|0101-3106||Sociedade Brasileira de Psicanálise de São Paulo
Colombia|Ideas y Valores||Ideas y Valores|idval|0120-0062|0120-0062||Universidad Nacional de Colombia, Facultad de Ciencias Humanas, Departamento de Filosofía.|by/4.0
Chile|Idesia (Arica)||Idesia|idesia|0718-3429||0718-3429|Universidad de Tarapacá. Facultad de Ciencias Agronómicas|by-nc/4.0
Pepsic|IGT na Rede||IGT rede|igt|1807-2526||1807-2526|Instituto de Gestalt-Terapia e Atendimento Familiar|by-nc/4.0
Brazil|Iheringia. Série Zoologia||Iheringia, Sér. Zool.|isz|0073-4721|0073-4721|1678-4766|Fundação Zoobotânica do Rio Grande do Sul|by-nc/4.0
Brazil|Ilha do Desterro||Ilha Desterro|ides|2175-8026||2175-8026|Universidade Federal de Santa Catarina|by-nc/4.0
Pepsic|Imaginário||Imaginario|ima|1413-666X|1413-666X||Laboratório de Estudos do Imaginário do Instituto de Psicologia da Universidade de São Paulo
South Africa|In die Skriflig||In Skriflig (Online)|ids|2305-0853|2305-0853|1018-6441|AOSIS Publishing|by-nc/4.0
Spain|Index de Enfermería||Index Enferm|index|1132-1296|1132-1296||Fundación Index
South Africa|Indo-Pacific Journal of Phenomenology||Indo-Pac. j. phenomenol. (Online)|ipjp|1445-7377|1445-7377|2079-7222|National Inquiry Services Centre (NISC) (Pty) Ltd.|by-nc/4.0
Colombia|Infectio||Infect.|inf|0123-9392|0123-9392||Asociación Colombiana de Infectología.
Chile|Información tecnológica||Inf. tecnol.|infotec|0718-0764||0718-0764|Centro de Información Tecnológica|by-nc/4.0
Argentina|Información, cultura y sociedad||Inf. cult. soc.|ics|1851-1740||1851-1740|Instituto de Investigaciones Bibliotecológicas. Facultad de Filosofía y Letras. Universidad de Buenos Aires|by-nc/4.0
Pepsic|Informes Psicológicos||Inf. psicol.|ipsi|0124-4906|0124-4906||Facultad de Psicología de la Universidad Pontificia Bolivariana
Chile|Ingeniare. Revista chilena de ingeniería||Ingeniare. Rev. chil. ing.|ingeniare|0718-3305||0718-3305|Universidad de Tarapacá. Escuela Universitaria de Ingeniería Electrica - Electrónica|by/4.0
Colombia|Ingeniería e Investigación||Ing. Investig.|iei|0120-5609|0120-5609||Facultad de Ingeniería, Universidad Nacional de Colombia.|by/4.0
Cuba|Ingeniería Electrónica, Automática y Comunicaciones||EAC|eac|1815-5928||1815-5928|Instituto Superior Politécnico José A. Echeverría. Cujae|by-nc/4.0
Cuba|Ingeniería Energética||Energética|rie|1815-5901||1815-5901|Instituto Superior Politécnico José A. Echeverría.Cujae|by-nc/4.0
Cuba|Ingeniería Hidráulica y Ambiental||riha|riha|1680-0338|1680-0338||Instituto Superior Politécnico José A. Echeverría. Cujae|by-nc/4.0
Cuba|Ingeniería Industrial||Ing. Ind.|rii|1815-5936||1815-5936|Facultad de Ingeniería Industrial, Instituto Superior Politécnico José Antonio Echeverría, Cujae.|by-nc/4.0
Cuba|Ingeniería Mecánica||Ingeniería Mecánica|im|1815-5944||1815-5944|Facultad de Ingeniería Mecánica. Instituto Superior Politécnico "José Antonio Echeverría"|by-nc/4.0
Mexico|Ingeniería mecánica, tecnología y desarrollo||Ingenier. mecáni. tecnolog. desarroll|imtd|1665-7381|1665-7381||Sociedad Mexicana de Ingeniería Mecánica|by-nc/3.0
Mexico|Ingeniería sísmica||Ing. sísm|ris|0185-092X|0185-092X||Sociedad Mexicana de Ingeniería Sísmica A.C.|by-nc/3.0
Colombia|Ingeniería y Ciencia||ing.cienc.|ince|1794-9165|1794-9165||Escuela de Ciencias y Humanidades y Escuela de Ingeniería de la Universidad EAFIT|by/4.0
Colombia|Ingeniería y competitividad||Ing. compet.|inco|0123-3033|0123-3033||Facultad de Ingeniería, Universidad del Valle
Colombia|Ingeniería y Desarrollo||Ing. Desarro.|inde|0122-3461|0122-3461|2145-9371|Fundación Universidad del Norte|by/4.0
Colombia|Ingeniería y Universidad||Ing. Univ.|inun|0123-2126|0123-2126||Pontificia Universidad Javeriana
Mexico|Ingeniería, investigación y tecnología||Ing. invest. y tecnol.|iit|1405-7743|1405-7743||Facultad de Ingeniería, UNAM|by-nc/3.0
Mexico|Innovación educativa (México, DF)||Innov. educ. (Méx. DF)|ie|1665-2673|1665-2673||Instituto Politécnico Nacional, Coordinación Editorial|by-nc/3.0
Social Sciences|Innovar : Revista de Ciencias Administrativas y Sociales||Innovar|s_inn|0121-5051|0121-5051||Escuela de Administración de Empresas y Contaduría Pública, Facultad de Ciencias Económicas, Universidad Nacional de Colombia|by-nc/4.0
Colombia|Innovar||Innovar|inno|0121-5051|0121-5051||Facultad de Ciencias Económicas. Universidad Nacional de Colombia.|by-nc/4.0
Argentina|Insuficiencia cardíaca||Insuf. card.|ic|1852-3862||1852-3862|Comité Insuficiencia Cardíaca|by-nc/4.0
Pepsic|Interamerican Journal of Psychology||Interam. j. psychol.|rip|0034-9690|0034-9690||Sociedad Interamericana de Psicología
Pepsic|Interação||Interação (Curitiba)|interac|1516-1854|1516-1854||Universidade Federal do Paraná. Departamento de Psicologia
Brazil|Interações (Campo Grande)||Interações (Campo Grande)|inter|1518-7012|1518-7012|1984-042X|Universidade Católica Dom Bosco|by-nc/4.0
Pepsic|Interações||Interações|inter|1413-2907|1413-2907||Unimarco Editora
Venezuela|Interciencia||INCI|inci|0378-1844|0378-1844||ASOCIACIÓN INTERCIENCIA
Brazil|Intercom: Revista Brasileira de Ciências da Comunicação||Intercom, Rev. Bras. Ciênc. Comun.|interc|1809-5844|1809-5844|1980-3508|Sociedade Brasileira de Estudos Interdisciplinares da Comunicação (INTERCOM)|by-nc/4.0
Argentina|Interdisciplinaria||Interdisciplinaria|interd|1668-7027||1668-7027|Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines (CIIPCA)|by-nc/4.0
Pepsic|Interdisciplinaria||Interdisciplinaria|interd|0325-8203|0325-8203||Centro Interamericano de Investigaciones Psicológicas y Ciencias Afines (CIIPCA)
Brazil|Interface - Comunicação, Saúde, Educação||Interface (Botucatu)|icse|1414-3283|1414-3283|1807-5762|UNESP|by/4.0
Public Health|Interface - Comunicação, Saúde, Educação||Interface (Botucatu)|icse|1414-3283|1414-3283|1807-5762|UNESP|by-nc/3.0
Social Sciences|Interface - Comunicação, Saúde, Educação||Interface (Botucatu)|s_icse|1414-3283|1414-3283||UNESP|by-nc/4.0
Brazil|International Archives of Otorhinolaryngology||Int. Arch. Otorhinolaryngol.|iao|1809-4864||1809-4864|Fundação Otorrinolaringologia|by-nc-nd/4.0
Brazil|International braz j urol|int j urol|Int. braz j urol.|ibju|1677-5538|1677-5538|1677-6119|Sociedade Brasileira de Urologia|by/4.0
Chile|International Journal of Morphology||Int. J. Morphol.|ijmorphol|0717-9502||0717-9502|Sociedad Chilena de Anatomía|by-nc/4.0
Chile|International journal of odontostomatology||Int. J. Odontostomat.|ijodontos|0718-381X||0718-381X|Universidad de La Frontera. Facultad de Medicina|by-nc/4.0
Colombia|International Journal of Psychological Research||int.j.psychol.res.|ijpr|2011-2084|2011-2084||Facultad de Psicología. Universidad de San Buenaventura, Medellín
Colombia|International Law||Int. Law: Rev. Colomb. Derecho Int.|ilrdi|1692-8156|1692-8156||Facultad de Ciencias Jurídica, Pontificia Universidad Javeriana
Spain|International Microbiology|Int Microbiol|INT. MICROBIOL.|im|1139-6709|1139-6709||Sociedad Española de Microbiología
Argentina|Intersecciones en antropología||Intersecciones antropol.|iant|1850-373X||1850-373X|Universidad Nacional del Centro de la Provincia de Buenos Aires. Facultad de Ciencias Sociales|by-nc/4.0
Costa Rica|InterSedes||InterSedes|is|2215-2458||2215-2458|Sedes Regionales|by-nc/3.0
Mexico|Intervención (México DF)||Intervención (Méx. DF)|inter|2007-249X|2007-249X||Instituto Nacional de Antropología e Historia, Escuela Nacional de Conservación, Restauración y Museografía|by-nc/3.0
Colombia|Investigaciones Andina||Investig. andina|inan|0124-8146|0124-8146||Fundación Universitaria del Área Andina
Mexico|Investigaciones geográficas||Invest. Geog|igeo|0188-4611|0188-4611||Instituto de Geografía, UNAM|by-nc/3.0
Chile|Investigaciones marinas||Investig. mar.|imar|0717-7178||0717-7178|Escuela de Ciencias del Mar <BR>Pontificia Universidad Católica de Valparaíso|by-nc/4.0
Mexico|Investigación bibliotecológica||Investig. bibl|ib|0187-358X|0187-358X||UNAM, Instituto de Investigaciones Bibliotecológicas y de la Información|by-nc/3.0
Venezuela|Investigación Clínica||Invest. clín|ic|0535-5133|0535-5133||Universidad del Zulia
Mexico|Investigación económica||Inv. Econ|ineco|0185-1667|0185-1667||UNAM, Facultad de Economía|by-nc/3.0
Mexico|Investigación en educación médica||Investigación educ. médica|iem|2007-5057||2007-5057|Universidad Nacional Autónoma de México, Facultad de Medicina|by-nc/3.0
Colombia|Investigación y Desarrollo||Investig. desarro.|indes|0121-3261|0121-3261|2011-7574|Fundación Universidad del Norte|by/4.0
Colombia|Investigación y Educación en Enfermería||Invest. educ. enferm|iee|0120-5307|0120-5307||Imprenta Universidad de Antioquia|by/4.0
Venezuela|Investigación y Postgrado||Investigación y Postgrado|ip|1316-0087|1316-0087||Universidad Pedagógica Experimental Libertador. Vicerectorado de Investigación y Postgardo
Portugal|Investigação Operacional||Inv. Op.|iop|0874-5161|0874-5161||APDIO - Associação Portuguesa de Investigação Operacional
Argentina|InVet||InVet|invet|1668-3498||1668-3498|Facultad de Ciencias Veterinarias, Universidad de Buenos Aires|by-nc/4.0
Mexico|Isonomía||Isonomía|is|1405-0218|1405-0218||Instituto Tecnológico Autónomo de México; Fontamara|by-nc/3.0
Colombia|Iteckne||Iteckne|itec|1692-1798|1692-1798||Universidad Santo Tomás
Bolivia|Iuris Tantum Revista Boliviana de Derecho||Rev. Bol. Der.|rbd|2070-8157|2070-8157||Fundación Iuris Tantum|by-nc-sa/4.0
Chile|Ius et Praxis||Ius et Praxis|iusetp|0718-0012||0718-0012|Legal Publishing Chile|by/4.0
Chile|Izquierdas||Izquierdas (Santiago)|izquierdas|0718-5049||0718-5049|Universidad de Santiago de Chile, Instituto de Estudios Avanzados, IDEA.|by-nc/4.0
Brazil|JISTEM - Journal of Information Systems and Technology Management||JISTEM J.Inf.Syst. Technol. Manag.|jistm|1807-1775||1807-1775|TECSI Laboratório de Tecnologia e Sistemas de Informação - FEA/USP|by/4.0
Brazil|Jornal Brasileiro de Nefrologia|J Bras Nefrol|J. Bras. Nefrol.|jbn|0101-2800|0101-2800|2175-8239|Sociedade Brasileira de Nefrologia|by/4.0
Brazil|Jornal Brasileiro de Patologia e Medicina Laboratorial||J. Bras. Patol. Med. Lab.|jbpml|1676-2444|1676-2444|1678-4774|Sociedade Brasileira de Patologia Clínica|by/4.0
Brazil|Jornal Brasileiro de Pneumologia|J Bras Pneumol|J. bras. pneumol.|jbpneu|1806-3713|1806-3713|1806-3756|Sociedade Brasileira de Pneumologia e Tisiologia|by-nc/4.0
Brazil|Jornal Brasileiro de Psiquiatria|J Bras Psiquiatr|J. bras. psiquiatr.|jbpsiq|0047-2085|0047-2085|1982-0208|Instituto de Psiquiatria da Universidade Federal do Rio de Janeiro|by-nc/4.0
Brazil|Jornal da Sociedade Brasileira de Fonoaudiologia||J. Soc. Bras. Fonoaudiol.|jsbf|2179-6491||2179-6491|Sociedade Brasileira de Fonoaudiologia|by-nc/4.0
Brazil|Jornal de Pediatria|J Pediatr (Rio J)|J. Pediatr. (Rio J.)|jped|0021-7557|0021-7557|1678-4782|Sociedade Brasileira de Pediatria|by-nc-nd/4.0
Brazil|Jornal de Pneumologia||J. Pneumologia|jpneu|0102-3586|0102-3586|1678-4642|Sociedade Brasileira de Pneumologia e Tisiologia|by-nc/4.0
Pepsic|Jornal de Psicanálise||J. psicanal.|jp|0103-5835|0103-5835||Instituto de Psicanalise da Sociedade Brasileira de Psicanalise de Sao Paulo|by-nc/4.0
Portugal|Jornal Português de Gastrenterologia||J Port Gastrenterol.|ge|0872-8178|0872-8178||Sociedade Portuguesa de Gastrenterologia|by-nc/4.0
Brazil|Jornal Vascular Brasileiro||J. vasc. bras.|jvb|1677-5449|1677-5449|1677-7301|Sociedade Brasileira de Angiologia e de Cirurgia Vascular (SBACV)|by/4.0
South Africa|Journal for Islamic Studies||JIS|jis|0257-7062|0257-7062||University of Cape Town: Centre for Contemporary Islam
South Africa|Journal for the Study of Religion||J. Study Relig.|jsr|1011-7601|1011-7601|2413-3027|Association for the Study of Religion in Southern Africa
Brazil|Journal of Applied Oral Science|J Appl Oral Sci|J. Appl. Oral Sci.|jaos|1678-7757|1678-7757|1678-7765|Faculdade De Odontologia De Bauru - USP|by/4.0
Mexico|Journal of applied research and technology||J. appl. res. technol|jart|1665-6423|1665-6423||UNAM, Centro de Ciencias Aplicadas y Desarrollo Tecnológico|by-nc/3.0
Mexico|Journal of behavior, health & social issues (México)||J. behav. health soc. ISSUES|jbhsi|2007-0780|2007-0780||Asociación Mexicana de Comportamiento y Salud, A.C.|by-nc/3.0
Brazil|Journal of Coloproctology (Rio de Janeiro)||J. Coloproctol. (Rio J.)|jcol|2237-9363|2237-9363|2317-6423|Sociedade Brasileira de Coloproctologia|by-nc-nd/4.0
Peru|Journal of Economics, Finance and Administrative Science||Journal of Economics, Finance and Administrative Science|jefas|2077-1886|2077-1886||Universidad ESAN|by-nc/4.0
South Africa|Journal of Energy in Southern Africa||J. energy South. Afr.|jesa|1021-447X|1021-447X|2413-3051|The Research Energy Centre of the University of Cape Town
Brazil|Journal of Epilepsy and Clinical Neurophysiology||J. epilepsy clin. neurophysiol.|jecn|1676-2649|1676-2649|1980-5365|Liga Brasileira de Epilepsia (LBE)|by-nc/4.0
Pepsic|Journal of Human Growth and Development||J. Hum. Growth Dev. (Online)|jhgd|2175-3598||2175-3598|Centro de Estudos do Crescimento e do Desenvolvimento do Ser Humano
Brazil|Journal of Microwaves, Optoelectronics and Electromagnetic Applications||J. Microw. Optoelectron. Electromagn. Appl.|jmoea|2179-1074||2179-1074|Sociedade Brasileira de Microondas e Optoeletrônica e Sociedade Brasileira de Eletromagnetismo|by-nc/4.0
Brazil|Journal of Seed Science||J. Seed Sci.|jss|2317-1537|2317-1537|2317-1545|ABRATES - Associação Brasileira de Tecnologia de Sementes|by/4.0
Chile|Journal of soil science and plant nutrition||J. Soil Sci. Plant Nutr.|jsspn|0718-9516||0718-9516|Chilean Society of Soil Science/Sociedad Chilena de la Ciencia del Suelo|by-nc/4.0
Chile|Journal of technology management & innovation||Journal of Technology Management & Innovation|jotmi|0718-2724||0718-2724|Universidad Alberto Hurtado. Facultad de Economía y Negocios|by-nc/4.0
Brazil|Journal of the Brazilian Chemical Society||J. Braz. Chem. Soc.|jbchs|0103-5053|0103-5053|1678-4790|Sociedade Brasileira de Química|by/4.0
Brazil|Journal of the Brazilian Computer Society||J. Braz. Comp. Soc.|jbcos|0104-6500|0104-6500|1678-4804|Sociedade Brasileira de Computação|by-nc/4.0
Brazil|Journal of the Brazilian Society of Mechanical Sciences and Engineering||J. Braz. Soc. Mech. Sci. & Eng.|jbsmse|1678-5878|1678-5878|1806-3691|Associação Brasileira de Engenharia e Ciências Mecânicas - ABCM|by-nc/4.0
Brazil|Journal of the Brazilian Society of Mechanical Sciences||J. Braz. Soc. Mech. Sci.|jbsms|0100-7386|0100-7386||The Brazilian Society of Mechanical Sciences|by-nc/4.0
Chile|Journal of the Chilean Chemical Society||J. Chil. Chem. Soc.|jcchems|0717-9707||0717-9707|Sociedad Chilena de Química|by-nc/4.0
Mexico|Journal of the Mexican Chemical Society||J. Mex. Chem. Soc|jmcs|1870-249X|1870-249X||Sociedad Química de México A.C.|by-nc/3.0
Bolivia|Journal of the Selva Andina Research Society||J. Selva Andina Res. Soc.|jsars|2072-9294||2072-9294|Órgano oficial de la:|by-nc-sa/4.0
South Africa|Journal of the South African Institution of Civil Engineering||J. S. Afr. Inst. Civ. Eng.|jsaice|1021-2019|1021-2019|2309-8775|South African Institution of Civil Engineering
South Africa|Journal of the South African Veterinary Association||J. S. Afr. Vet. Assoc.|jsava|1019-9128|1019-9128|2224-9435|AOSIS Publishing|by-nc/4.0
South Africa|Journal of the Southern African Institute of Mining and Metallurgy||J. S. Afr. Inst. Min. Metall.|jsaimm|0038-223X|0038-223X|2411-9717|The Southern African Institute of Mining and Metallurgy
Chile|Journal of theoretical and applied electronic commerce research||J. theor. appl. electron. commer. res.|jtaer|0718-1876||0718-1876|Universidad de Talca|by/4.0
Brazil|Journal of Transport Literature||J. Transp. Lit.|jtl|2238-1031||2238-1031|Sociedade Brasileira de Planejamento dos Transportes|by/4.0
Brazil|Journal of Venomous Animals and Toxins including Tropical Diseases|J Venom Anim Toxins Incl Trop Dis|J. Venom. Anim. Toxins incl. Trop. Dis|jvatitd|1678-9199||1678-9199|Centro de Estudos de Venenos e Animais Peçonhentos - CEVAP, Universidade Estadual Paulista - UNESP|by/4.0
Brazil|Journal of Venomous Animals and Toxins||J. Venom. Anim. Toxins|jvat|0104-7930|0104-7930|1678-4936|Centro de Estudos de Venenos e Animais Peçonhentos - CEVAP, Universidade Estadual Paulista - UNESP|by-nc/4.0
Colombia|Justicia Juris||Justicia Juris|jusju|1692-8571|1692-8571||Universidad Autónoma del Caribe, Facultad de Jurisprudencia-Programa de Derecho
Venezuela|Kasmera||Kasmera|km|0075-5222|0075-5222||Universidad del Zulia
South Africa|Koedoe||Koedoe|koedoe|0075-6458|0075-6458|2071-0771|AOSIS Publishing|by-nc/4.0
South Africa|Koers||Koers (Online)|koers|2304-8557|2304-8557|0023-270X|Watu Youth Village|by-nc/4.0
